               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.036259,            0.010202,                   0,             0.99884,                   1,               0.995,             0.88405,           0.0086563,           0.0034043,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.029748,           0.0097709,                   0,             0.99859,                   1,               0.995,             0.90002,            0.016968,           0.0036718,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.038437,           0.0093007,                   0,             0.99883,                   1,               0.995,             0.79067,            0.013504,            0.003363,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.041832,           0.0086148,                   0,             0.99882,                   1,               0.995,             0.70831,            0.013773,           0.0037982,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.029877,           0.0093088,                   0,             0.99873,                   1,               0.995,             0.88232,           0.0097755,           0.0033141,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.025102,           0.0086332,                   0,             0.99754,                   1,               0.995,             0.75734,            0.019116,           0.0035538,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.037301,             0.00864,                   0,             0.99874,                   1,               0.995,             0.76147,            0.011156,           0.0033512,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.037304,           0.0096188,                   0,             0.99871,                   1,               0.995,             0.85034,            0.015831,           0.0036407,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,             0.04429,           0.0097746,                   0,             0.99871,                   1,               0.995,             0.77133,           0.0095878,           0.0034378,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.034116,            0.009482,                   0,             0.99874,                   1,               0.995,             0.87448,            0.015054,           0.0033735,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,             0.04255,           0.0093285,                   0,             0.99856,                   1,               0.995,             0.78601,             0.01177,           0.0036024,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.027365,           0.0089659,                   0,             0.99946,                   1,               0.995,              0.8738,             0.01832,            0.003785,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.037971,           0.0088898,                   0,             0.99824,                   1,               0.995,             0.75945,            0.011132,           0.0038145,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.031093,            0.008808,                   0,             0.99857,                   1,               0.995,             0.92094,            0.012336,           0.0034766,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.031059,            0.010842,                   0,             0.99871,                   1,               0.995,             0.84183,           0.0090265,           0.0032793,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.040754,           0.0097842,                   0,             0.99879,                   1,               0.995,              0.7765,            0.018644,           0.0036591,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.029471,           0.0075025,                   0,             0.99868,                   1,               0.995,             0.84431,            0.010496,            0.002993,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.034146,           0.0082638,                   0,             0.99874,                   1,               0.995,             0.91018,            0.012139,            0.003094,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.029902,           0.0085406,                   0,             0.99871,                   1,               0.995,             0.76572,            0.013025,           0.0032446,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.026245,           0.0091797,                   0,             0.99852,                   1,               0.995,             0.88153,           0.0085873,           0.0030445,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.035511,           0.0088734,                   0,             0.99805,                   1,               0.995,             0.83502,           0.0089489,           0.0032455,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.032566,           0.0085826,                   0,             0.99762,                   1,               0.995,             0.87401,            0.013549,            0.003338,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,             0.03049,           0.0080526,                   0,             0.99794,                   1,               0.995,             0.85175,           0.0087367,           0.0031197,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.027894,           0.0081615,                   0,             0.99781,                   1,               0.995,             0.92906,            0.010946,           0.0033671,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.023948,           0.0071571,                   0,             0.99834,                   1,               0.995,             0.83068,           0.0094812,           0.0034082,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.034499,           0.0098434,                   0,             0.99798,                   1,               0.995,             0.93324,           0.0072668,           0.0030242,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,             0.03819,            0.010228,                   0,             0.99844,                   1,               0.995,             0.85122,           0.0097467,           0.0031028,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.038718,           0.0086547,                   0,             0.99839,                   1,               0.995,             0.86366,            0.012046,           0.0032292,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.022962,            0.008314,                   0,             0.99823,                   1,               0.995,             0.92257,           0.0056292,           0.0030008,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.040657,           0.0088761,                   0,             0.99841,                   1,               0.995,             0.80206,            0.010425,           0.0033108,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,             0.02102,           0.0083932,                   0,             0.99825,                   1,               0.995,             0.93334,            0.008286,           0.0029051,                   0,             0.00604,             0.00604,             0.00604
