               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.020717,           0.0045682,                   0,                   1,             0.99913,               0.995,             0.78797,            0.017365,           0.0024879,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.021193,            0.004364,                   0,             0.99445,                   1,             0.99489,             0.80922,            0.015538,           0.0024434,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.020238,           0.0042191,                   0,             0.99248,              0.9963,             0.99485,             0.80856,            0.016715,           0.0026491,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.021634,           0.0048377,                   0,                   1,             0.99978,               0.995,             0.78697,            0.016386,           0.0024568,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.021104,           0.0048004,                   0,             0.99565,             0.99623,               0.995,             0.82438,             0.01534,           0.0023049,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.021604,           0.0050291,                   0,             0.99238,                   1,             0.99496,             0.82146,            0.014957,           0.0023294,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.020565,           0.0047491,                   0,                   1,              0.9953,               0.995,              0.8073,            0.015808,            0.002242,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.019942,           0.0048921,                   0,             0.99623,             0.99742,               0.995,             0.82977,            0.014613,           0.0021899,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.020611,           0.0040727,                   0,              0.9953,                   1,               0.995,             0.83415,            0.014356,           0.0021741,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.020768,           0.0041382,                   0,             0.99939,             0.99623,               0.995,             0.81199,            0.015925,           0.0023361,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.020948,           0.0040937,                   0,             0.99831,             0.99245,               0.995,             0.83245,            0.015132,           0.0022926,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.021035,           0.0042931,                   0,             0.99599,             0.99245,             0.99496,             0.80637,            0.015625,           0.0022689,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.022563,           0.0048266,                   0,                   1,             0.99902,               0.995,             0.82437,            0.014784,           0.0021813,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.019956,           0.0051763,                   0,              0.9955,                   1,               0.995,             0.84325,            0.014005,           0.0021076,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.018958,           0.0047409,                   0,             0.99537,                   1,             0.99462,             0.83017,            0.015204,           0.0021679,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,             0.01965,           0.0043632,                   0,             0.99245,             0.99201,             0.99458,             0.83103,            0.014664,           0.0021833,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.020894,           0.0040479,                   0,             0.98649,             0.98868,             0.99454,             0.81789,            0.015104,            0.002409,                   0,           0.0061885,           0.0061885,           0.0061885
